s,E0,E1,E2,E3,gap,K
1.499999999999999944e-02,-1.970071601018537066e+00,-1.499956518448402470e-02,1.499999999999999944e-02,1.970071166203021029e+00,1.955072035834052979e+00,9.568665430404510452e-02
1.549999999999999989e-02,-1.969076500695611465e+00,-1.549951975048295509e-02,1.549999999999999989e-02,1.969076020446094422e+00,1.953576980945128438e+00,9.594200714921960471e-02
1.600000000000000033e-02,-1.968081565671628619e+00,-1.599947122296445715e-02,1.600000000000000033e-02,1.968081036894593128e+00,1.952082094448664096e+00,9.619816957370452837e-02
1.650000000000000078e-02,-1.967086796249829739e+00,-1.649941949565448401e-02,1.650000000000000078e-02,1.967086215745484701e+00,1.950587376754175262e+00,9.645514453174047764e-02
1.700000000000000122e-02,-1.966092192734187893e+00,-1.699936446185644143e-02,1.700000000000000122e-02,1.966091557196044226e+00,1.949092828272331435e+00,9.671293498958044577e-02
1.750000000000000167e-02,-1.965097755429411341e+00,-1.749930601445140108e-02,1.750000000000000167e-02,1.965097061443862758e+00,1.947598449414959854e+00,9.697154392554620250e-02
1.800000000000000211e-02,-1.964103484640943087e+00,-1.799924404589475779e-02,1.800000000000000211e-02,1.964102728686838217e+00,1.946104240595048385e+00,9.723097433007724111e-02
1.849999999999999908e-02,-1.963109380674966209e+00,-1.849917844821459545e-02,1.849999999999999561e-02,1.963108559123180941e+00,1.944610202226751516e+00,9.749122920578538742e-02
1.899999999999999953e-02,-1.962115443838403861e+00,-1.899910911301272431e-02,1.899999999999999606e-02,1.962114552951416346e+00,1.943116334725391248e+00,9.775231156750985306e-02
1.949999999999999997e-02,-1.961121674438920826e+00,-1.949903593146003200e-02,1.949999999999999650e-02,1.961120710370380715e+00,1.941622638507460863e+00,9.801422444236805587e-02
2.000000000000000042e-02,-1.960128072784929065e+00,-1.999895879429507486e-02,1.999999999999999695e-02,1.960127031579224521e+00,1.940129113990634036e+00,9.827697086981003471e-02
2.050000000000000086e-02,-1.959134639185587723e+00,-2.049887759182566355e-02,2.049999999999999739e-02,1.959133516777413320e+00,1.938635761593762163e+00,9.854055390167427986e-02
2.100000000000000130e-02,-1.958141373950802233e+00,-2.099879221392336390e-02,2.099999999999999784e-02,1.958140166164725526e+00,1.937142581736878810e+00,9.880497660223984402e-02
2.150000000000000175e-02,-1.957148277391234092e+00,-2.149870255002454822e-02,2.149999999999999828e-02,1.957146979941258635e+00,1.935649574841209475e+00,9.907024204828213110e-02
2.199999999999999872e-02,-1.956155349818296418e+00,-2.199860848912736644e-02,2.200000000000000219e-02,1.956153958307423890e+00,1.934156741329169149e+00,9.933635332912700566e-02
2.249999999999999917e-02,-1.955162591544158390e+00,-2.249850991979073997e-02,2.250000000000000264e-02,1.955161101463948725e+00,1.932664081624367647e+00,9.960331354670672044e-02
2.299999999999999961e-02,-1.954170002881747914e+00,-2.299840673013253331e-02,2.300000000000000308e-02,1.954168409611880541e+00,1.931171596151615377e+00,9.987112581561408131e-02
2.350000000000000006e-02,-1.953177584144754286e+00,-2.349829880782799973e-02,2.349999999999998965e-02,1.953175882952582043e+00,1.929679285336926231e+00,1.001397932631585413e-01
2.400000000000000050e-02,-1.952185335647629305e+00,-2.399818604010825820e-02,2.400000000000000397e-02,1.952183521687737455e+00,1.928187149607521134e+00,1.004093190294216564e-01
2.450000000000000094e-02,-1.951193257705590156e+00,-2.449806831375792721e-02,2.450000000000000441e-02,1.951191326019347860e+00,1.926695189391832264e+00,1.006797062673136928e-01
2.500000000000000139e-02,-1.950201350634620523e+00,-2.499794551511487148e-02,2.500000000000000486e-02,1.950199296149735639e+00,1.925203405119505717e+00,1.009509581426293739e-01
2.550000000000000183e-02,-1.949209614751475694e+00,-2.549781753006734666e-02,2.550000000000000530e-02,1.949207432281542918e+00,1.923711797221408393e+00,1.012230778341042664e-01
2.600000000000000228e-02,-1.948218050373681898e+00,-2.599768424405212233e-02,2.600000000000000575e-02,1.948215734617734007e+00,1.922220366129629765e+00,1.014960685334723167e-01
2.649999999999999925e-02,-1.947226657819539630e+00,-2.649754554205438137e-02,2.650000000000000272e-02,1.947224203361593853e+00,1.920729112277485218e+00,1.017699334455218346e-01
2.699999999999999969e-02,-1.946235437408125879e+00,-2.699740130860470849e-02,2.700000000000000316e-02,1.946232838716730695e+00,1.919238036099521150e+00,1.020446757881537658e-01
2.750000000000000014e-02,-1.945244389459298118e+00,-2.749725142777736941e-02,2.749999999999998973e-02,1.945241640887075629e+00,1.917747138031520748e+00,1.023202987924386881e-01
2.800000000000000058e-02,-1.944253514293692753e+00,-2.799709578318929082e-02,2.800000000000000405e-02,1.944250610076881935e+00,1.916256418510503545e+00,1.025968057026743208e-01
2.850000000000000103e-02,-1.943262812232733561e+00,-2.849693425799808277e-02,2.850000000000000450e-02,1.943259746490731299e+00,1.914765877974735409e+00,1.028741997764445470e-01
2.900000000000000147e-02,-1.942272283598626137e+00,-2.899676673490013401e-02,2.900000000000000494e-02,1.942269050333525815e+00,1.913275516863726100e+00,1.031524842846764656e-01
2.950000000000000192e-02,-1.941281928714367666e+00,-2.949659309612957109e-02,2.950000000000000538e-02,1.941278521810496649e+00,1.911785335618238157e+00,1.034316625117004396e-01
2.999999999999999889e-02,-1.940291747903743147e+00,-2.999641322345533712e-02,2.999999999999999889e-02,1.940288161127198485e+00,1.910295334680287782e+00,1.037117377553075231e-01
3.049999999999999933e-02,-1.939301741491333386e+00,-3.049622699818074420e-02,3.049999999999999933e-02,1.939297968489514190e+00,1.908805514493152611e+00,1.039927133268093024e-01
3.099999999999999978e-02,-1.938311909802513666e+00,-3.099603430114111421e-02,3.099999999999999978e-02,1.938307944103654368e+00,1.907315875501372604e+00,1.042745925510971949e-01
3.150000000000000022e-02,-1.937322253163455965e+00,-3.149583501270130509e-02,3.150000000000000022e-02,1.937318088176157360e+00,1.905826418150754709e+00,1.045573787667018334e-01
3.200000000000000067e-02,-1.936332771901134731e+00,-3.199562901275588428e-02,3.200000000000000067e-02,1.936328400913890579e+00,1.904337142888378853e+00,1.048410753258535999e-01
3.250000000000000111e-02,-1.935343466343324659e+00,-3.249541618072643301e-02,3.250000000000000111e-02,1.935338882524051396e+00,1.902848050162598170e+00,1.051256855945420371e-01
3.300000000000000155e-02,-1.934354336818608244e+00,-3.299519639555796580e-02,3.300000000000000155e-02,1.934349533214165806e+00,1.901359140423050320e+00,1.054112129525761610e-01
3.350000000000000200e-02,-1.933365383656372227e+00,-3.349496953572057845e-02,3.350000000000000200e-02,1.933360353192092873e+00,1.899870414120651718e+00,1.056976607936467860e-01
3.400000000000000244e-02,-1.932376607186815143e+00,-3.399473547920479205e-02,3.400000000000000244e-02,1.932371342666019842e+00,1.898381871707610413e+00,1.059850325253852005e-01
3.450000000000000289e-02,-1.931388007740947321e+00,-3.449449410352101175e-02,3.450000000000000289e-02,1.931382501844468358e+00,1.896893513637426310e+00,1.062733315694256025e-01
3.500000000000000333e-02,-1.930399585650594219e+00,-3.499424528569874265e-02,3.500000000000000333e-02,1.930393830936293575e+00,1.895405340364895386e+00,1.065625613614671063e-01
3.550000000000000377e-02,-1.929411341248399303e+00,-3.549398890228179504e-02,3.550000000000000377e-02,1.929405330150681275e+00,1.893917352346117466e+00,1.068527253513342212e-01
3.600000000000000422e-02,-1.928423274867822723e+00,-3.599372482933083095e-02,3.600000000000000422e-02,1.928416999697153855e+00,1.892429550038492003e+00,1.071438270030408563e-01
3.649999999999999772e-02,-1.927435386843150855e+00,-3.649345294241588405e-02,3.649999999999999079e-02,1.927428839785566117e+00,1.890941933900734950e+00,1.074358697948497449e-01
3.699999999999999817e-02,-1.926447677509490308e+00,-3.699317311662060626e-02,3.699999999999999123e-02,1.926440850626110590e+00,1.889454504392869660e+00,1.077288572193384475e-01
3.749999999999999861e-02,-1.925460147202778804e+00,-3.749288522653635575e-02,3.749999999999999167e-02,1.925453032429314648e+00,1.887967261976242428e+00,1.080227927834595536e-01
3.799999999999999906e-02,-1.924472796259780072e+00,-3.799258914626162109e-02,3.799999999999999212e-02,1.924465385406041840e+00,1.886480207113518492e+00,1.083176800086052549e-01
3.849999999999999950e-02,-1.923485625018093836e+00,-3.849228474940042527e-02,3.849999999999999256e-02,1.923477909767493887e+00,1.884993340268693363e+00,1.086135224306703506e-01
3.899999999999999994e-02,-1.922498633816149383e+00,-3.899197190906027871e-02,3.899999999999999301e-02,1.922490605725209800e+00,1.883506661907089041e+00,1.089103236001167652e-01
3.950000000000000039e-02,-1.921511822993217322e+00,-3.949165049784950782e-02,3.949999999999999345e-02,1.921503473491066760e+00,1.882020172495367794e+00,1.092080870820355543e-01
4.000000000000000083e-02,-1.920525192889407151e+00,-3.999132038787733823e-02,3.999999999999999389e-02,1.920516513277284565e+00,1.880533872501529924e+00,1.095068164562139207e-01
4.050000000000000128e-02,-1.919538743845668138e+00,-4.049098145075023109e-02,4.049999999999999434e-02,1.919529725296418743e+00,1.879047762394917997e+00,1.098065153171979141e-01
4.100000000000000172e-02,-1.918552476203797763e+00,-4.099063355757064098e-02,4.099999999999999478e-02,1.918543109761368548e+00,1.877561842646227053e+00,1.101071872743574070e-01
4.150000000000000216e-02,-1.917566390306437940e+00,-4.149027657893523957e-02,4.149999999999999523e-02,1.917556666885373184e+00,1.876076113727502603e+00,1.104088359519525969e-01
4.200000000000000261e-02,-1.916580486497080571e+00,-4.198991038493297273e-02,4.199999999999998179e-02,1.916570396882012695e+00,1.874590576112147522e+00,1.107114649891983715e-01
4.250000000000000305e-02,-1.915594765120071541e+00,-4.248953484514302048e-02,4.249999999999999611e-02,1.915584299965214177e+00,1.873105230274928479e+00,1.110150780403297566e-01
